ingles,traducao_pt
your left front tyre is running hot,O pneu dianteiro esquerdo está aquecendo
you're spinning your right front coming out of,Você está girando o dianteiro direito saindo da curva
we're seeing right front wheel spin coming out of,Estamos vendo giro no dianteiro direito na saída da curva
you're spinning your right front in,Você está girando o dianteiro direito em
"there's some wear on those front tyres, mate","Tem desgaste nesses pneus dianteiros, parceiro"
you got some wear on your front tyres,Você está com algum desgaste nos pneus dianteiros
we're seeing significant wear on the fronts,Estamos vendo desgaste significativo nos dianteiros
your left front pressure looks very high,A pressão do seu dianteiro esquerdo parece muito alta
A's,A’s
B's,B’s
your left rear inner and outer temperatures are about the same,As temperaturas interna e externa do traseiro esquerdo estão parecidas
your left rear inner and outer temps are about the same,Interna e externa do traseiro esquerdo estão parecidas
your inner and outer temps are about the same for your left rear,As temperaturas interna e externa do traseiro esquerdo são semelhantes
your right front pressure is very low,A pressão do seu dianteiro direito está muito baixa
your rear brakes are starting to overheat,Seus freios traseiros estão começando a superaquecer
your rear brakes are getting pretty hot,Seus freios traseiros estão ficando bem quentes
your rear brakes are hot,Seus freios traseiros estão quentes
your average rear inner and outer temperatures are about the same,A média das temperaturas interna e externa dos traseiros está parecida
your average rear inner and outer temps are about the same,As médias interna e externa dos traseiros estão semelhantes
plenty of battery,Bateria cheia
the battery's has got plenty of charge in it,A bateria está com bastante carga
you got loads of energy,Você tem muita energia
you got plenty of battery energy,Você tem bastante energia da bateria
percent,Porcentagem
we're low on charge,Estamos com pouca carga
"the battery level is looking pretty low, now",O nível da bateria está ficando bem baixo agora
the battery level is low,O nível da bateria está baixo
minutes,Minutos
"that's half distance, the battery looks good, we think we'll make it to the end","Metade da corrida, a bateria parece boa, achamos que vamos até o fim"
"half distance, the battery power looks okay","Meio da prova, a bateria tá ok"
"half distance, the battery looks good, we'll make it to the end","Meio da corrida, a bateria parece boa, vamos até o final"
"half distance, we should have enough power to get to the end","Metade da corrida, devemos ter energia suficiente até o fim"
we think we'll be out of battery in 3 laps,Achamos que vamos ficar sem bateria em 3 voltas
we got enough power for 3 more laps,Temos energia para mais 3 voltas
we got about 3 laps left in the battery,Temos cerca de 3 voltas restantes de bateria
"this battery is had it, it's about to run out","Essa bateria já era, vai acabar"
this battery is pretty much done,Essa bateria praticamente acabou
"this battery is about to run out, mate","Essa bateria tá prestes a acabar, parceiro"
we'll get about,Vamos conseguir cerca de
we're good for another,Dá pra mais uma
"we'll need to stop before the end of the race, we don't have enough energy","Vamos precisar parar antes do fim, não temos energia suficiente"
"we don't have enough battery to make it to the end of the race, we'll need to stop","Não temos bateria suficiente pra terminar a corrida, vamos precisar parar"
"we don't have enough energy to get to the end, we'll need to stop","Não temos energia suficiente pra chegar ao fim, precisaremos parar"
your energy use is reducing,Seu consumo de energia está diminuindo
your battery use is reducing,Seu consumo de bateria está diminuindo
your battery use is dropping,Seu uso de bateria está caindo
should be able to make the midpoint of the race on the current charge,Deve dar pra chegar até a metade da prova com a carga atual
should be able to reach the middle of the race on the current charge,Deve dar pra alcançar o meio da corrida com essa carga
the current charge should last you to the midpoint of the race,A carga atual deve durar até a metade da prova
laps remaining in the battery,Voltas restantes na bateria
laps of energy remaining,Voltas de energia restantes
laps of charge remaining,Voltas de carga restantes
the battery is now at half power,A bateria está agora em metade da carga
"we got half the battery power left, now",Estamos com metade da carga da bateria agora
we got half our battery charge remaining,Temos metade da carga da bateria restante
there's about 4 laps left in the battery,Cerca de 4 voltas restantes de bateria
the battery will last about 4 more laps,A bateria vai durar cerca de mais 4 voltas
we got 4 laps of battery power left,Temos 4 voltas restantes de energia
we've got about 5 more minutes on this battery,Temos cerca de 5 minutos restantes nessa bateria
there's about 5 minutes left in this battery,Cerca de 5 minutos restantes nessa bateria
this battery will last about 5 more minutes,Essa bateria vai durar cerca de mais 5 minutos
we think you'll make it to the end on your current charge,Achamos que você vai conseguir terminar com a carga atual
your current charge level should last to the end of the race,Sua carga atual deve durar até o fim da corrida
you should be able to make it to the end on this charge,Deve dar pra chegar até o final com essa carga
"we don't have enough energy to get us to half distance, we'll need to stop","Não temos energia suficiente pra chegar até metade da prova, vamos precisar parar"
we're not going to make it to half distance without a pit stop,Não vamos conseguir chegar à metade da corrida sem parar
"you don't have enough energy to make it to half way, we'll need to stop","Você não tem energia suficiente pra chegar à metade, vamos ter que parar"
percent battery remaining,Porcentagem de bateria restante
percent of charge remaining,Porcentagem de carga restante
percent remaining,Porcentagem restante
we think about,Achamos que
we estimate,Estimamos que
it looks like,Parece que
your battery use is stable,Seu uso de bateria está estável
your battery use is now stable,Seu consumo de bateria agora está estável
your battery use is stabilized,O uso de bateria estabilizou
"that's half distance, at this rate we won't make it to the end on this charge","Metade da corrida, nessa taxa não vamos até o fim com essa carga"
"that's half distance, we don't have enough energy to get to the end","Metade da corrida, não temos energia suficiente até o fim"
"that's half distance, we haven't got enough energy to get to the end","Metade da corrida, não temos energia suficiente pra chegar ao fim"
"that's half distance, we'll be out of battery before the end","Metade da corrida, ficaremos sem bateria antes do final"
Laps ,Voltas
on last lap you used,"Na última volta, você usou"
on your last lap you used,"Na sua última volta, você usou"
on the last lap you used,"Na volta passada, você usou"
your battery is almost empty,Sua bateria está quase vazia
the battery level is really low,O nível da bateria está muito baixo
the battery is really low,A bateria está bem baixa
"critical battery level, we're really low on energy","Nível crítico de bateria, estamos com energia muito baixa"
one lap of battery power left,Uma volta restante de bateria
there's one lap left in this battery,Falta uma volta nessa bateria
one lap left on our current charge,Uma volta restante com a carga atual
you won't make it to the end unless you reduce your battery use,"Se não economizar bateria, não vai chegar até o final"
you'll need to drop your battery use to make it to the end of the race,Vai ter que aliviar no consumo se quiser completar a corrida
you'll need to reduce your battery use if you're going to make it to the end,Precisa baixar o uso da bateria se quiser ver a bandeirada
minutes of charge remaining,Minutos de carga restantes
minutes left in the battery,Minutos sobrando na bateria
minutes of energy remaining,Minutos de energia restante
percent per lap,Porcentagem por volta
you'll need to drop your battery use if you're going to make mid point of the race,Vai ter que reduzir o uso da bateria se quiser chegar na metade da prova
you'll need to reduce your battery use to reach the halfway point,Precisa diminuir a bateria pra alcançar o meio da corrida
you'll need to reduce your battery use to reach half distance,Vai ter que economizar bateria pra bater a metade da distância
percent of your battery,Porcentagem da bateria
percent of your remaining battery,Porcentagem do que sobrou de bateria
percent of your energy,Porcentagem da sua energia
"you can increase your battery usage now, we've got plenty of energy to get us to the end","Pode gastar mais bateria agora, temos energia de sobra até o fim"
"we've got plenty of battery to make the end, you can increase your energy usage","Temos bateria pra completar, pode mandar mais energia"
"increase your energy usage, we've got plenty of energy to spare, we'll make it to the end","Aumenta o uso aí, sobra de energia total, vamos até o final tranquilo"
your energy use is increasing,Teu consumo de energia tá subindo
your battery use is increasing,O uso de bateria tá aumentando
"you can increase your energy usage, we have more than we need to make it to the midpoint","Pode subir o uso de energia, temos bem mais que o necessário pra chegar na metade"
"increase your battery usage, we've got more than enough energy to make half distance","Aumenta o uso da bateria, tem energia de sobra pra metade da prova"
"we have more than enough energy to make half distance, you can increase your battery usage","Temos energia mais que suficiente pra metade da corrida, pode mandar ver na bateria"
we got enough charge for 2 more minutes,Temos carga suficiente pra mais dois minutos
we've got 2 minutes left in this battery,Restam dois minutos nessa bateria
we'll be out of battery in 2 minutes,A bateria acaba em dois minutos
2 laps remaining in the battery,Duas voltas restantes com essa bateria
we got enough power for 2 laps now,Temos força pra mais duas voltas agora
we think about 2 laps left in this battery,Achamos que restam cerca de duas voltas nessa bateria
we'll be out of battery in about 10 minutes,A bateria deve acabar em cerca de dez minutos
there's about 10 minutes left in this battery,Faltam mais ou menos dez minutos nessa bateria
we got about 10 minutes of charge left,Temos por volta de dez minutos de carga restante
incidents,Incidentes
the incident points limit is,O limite de pontos de incidente é
there's no incident points limit,Não tem limite de pontos de incidente
the incident limit is,O limite de incidentes é
you have,Você tem
there's no incident limit,Sem limite de incidente
incident points,Pontos de incidente
behind,Atrás
we need to set a benchmark lap time first,Precisamos cravar uma volta de referência primeiro
we need to set a decent lap first,Primeiro tem que sair uma volta decente
we need to set some laptimes first,Vamos marcar uns tempos de volta primeiro
we are sharing our pit box with,Estamos dividindo box com
and,e
we think he'll come out just in front,Achamos que ele vai sair bem na tua frente
he should come out close in front of you,Deve sair colado na tua frente
we think he'll come out close in front,"A gente acha que ele sai próximo, à frente"
he should come out just in front of you,Deve sair logo ali na tua frente
looks like he'll come out just in front of you,Parece que ele vai sair justinho à tua frente
we think he'll come out just in front of you,A gente acha que ele vai aparecer ali na tua frente
we think he'll be close in front of you when he exits,Deve sair perto de você quando deixar os boxes
a few seconds in front of,Alguns segundos à frente de
a few seconds ahead of,Alguns segundos adiante de
we expect there'll be no traffic on exit,A gente espera pista limpa na saída
we don't expect any traffic on the pit exit,Não esperamos tráfego na saída do pit
we expect you'll be coming out of the pits into clear air,Provável que você saia dos boxes no ar limpo
expect a clear track on exit,Espera pista livre na saída
we think you'll be exiting the pits into clear air,Achamos que você sai dos boxes com pista livre
you should have plenty of space on the exit,Deve ter espaço de sobra quando sair
you should be coming out into clear air,Deve sair direto no limpo
"is entering the pits, he's in P","Tá entrando nos boxes, tá em Pê"
is pitting from position,Parando a partir da posição
is pitting from P,Parando da Pê…
"this is our benchmark pit stop, we need race pace on the in-lap and the out-lap","Essa é nossa parada de referência, ritmo de corrida na volta de entrada e saída"
"okay, we'll time this stop","Beleza, vamos cronometrar essa parada"
"this'll be our benchmark pit stop, race pace on the in-lap and the out-lap","Essa vai ser nossa parada de benchmark, ritmo forte na entrada e saída"
"we need race pace on the in-lap and the out-lap, this'll be our benchmark","Precisa ritmo de prova na entrada e saída, essa é a referência"
"understood, we'll time this stop, use it as a benchmark","Fechado, vamos marcar o tempo, usa como base"
"okay, we'll use this stop as a benchmark","Feito, essa parada vai ser a referência"
"okay, race pace on the outlap until sector 2, this'll be our benchmark stop","Certo, ritmo de prova até o setor dois, essa aqui é nossa parada de benchmark"
"this is our benchmark stop, we'll be timing the in-lap and the out-lap, race pace","Essa é nossa parada de referência, vamos cronometrar entrada e saída com ritmo"
"okay, this is our benchmark stop, race pace until sector 2","Ok, parada de benchmark, ritmo de prova até o setor dois"
"acknowledged, we'll time this stop, race pace on the in-lap and out-lap until sector 2, please","Entendido, vamos marcar o tempo, ritmo forte na entrada e saída até o setor dois, por favor"
right behind,Tá logo atrás
immediately behind,Bem colado atrás
just behind,Pouco atrás
a few seconds behind,Alguns segundos atrás
in front of,Na frente
ahead of,Adiante
when we exit the pits we'll be in P,"Quando a gente sair dos boxes, vamos estar em Pê"
we expect to exit the pits in position,A gente espera sair dos boxes já na posição
when we exit the pits we should be in position,"Ao sair do pit, devemos estar na posição"
on exit we should be in position,"Na saída, devemos cair na posição certa"
when we exit the pits we should be in P,"Ao sair do pit, devemos cair em Pê"
when we leave the pits we think we'll be in P,"Quando deixarmos o pit, achamos que voltamos em Pê"
we should come out into position,A gente deve sair direto na posição
we'll calculate your time loss from your next flying lap,Vamos calcular a perda de tempo com base na próxima volta lançada
we'll work out the time loss based on your next flying lap,Vamos descobrir quanto perdemos baseando na próxima volta rápida
we'll calculate the time loss based on your next flying lap,A gente calcula a perda com base na tua próxima volta rápida
just ahead of,Um pouquinho à frente de
just in front of,Logo na frente de
right ahead of,Bem na frente de
right in front of,"Bem na frente, colado"
there'll be traffic on the exit,Vai ter tráfego na saída
there'll be traffic when you exit the pits,Vai ter trânsito quando você sair dos boxes
expect traffic when you come out,Espera tráfego quando sair
you'll be coming out into traffic,Você vai sair no meio do trânsito
expect traffic when you exit the pits,Deve pegar tráfego na saída dos boxes
expect traffic on exit,Vai sair em tráfego
it looks like pitting will lose us about,Parece que a parada vai nos custar cerca de
we think a pit stop costs us,A gente acha que a parada vai custar mais ou menos
we think a pit stop costs about,Achamos que uma parada vai custar mais ou menos isso aí
a pit stop will cost us,Essa parada vai custar pra gente
a pit stop will lose us about,A parada vai nos fazer perder mais ou menos isso
looks like a pit stop costs us about,Parece que a parada custa mais ou menos isso
in between,No meio
between,Entre
right with,Junto com
really close between,Bem próximo entre eles
really close to,Colado ali
close between,Disputa apertada entre eles
he should be a little bit behind when he comes out,Ele deve sair um pouco atrás quando voltar
we think he'll come out a little way behind you,Achamos que ele sai um pouco mais atrás de você
he should come out a little way behind you,Ele deve aparecer um pouco mais atrás
we think he'll come out just behind you,Achamos que ele vai sair logo atrás
it looks like he'll come out just behind you,Parece que ele sai logo atrás de você
expect him to come out a bit behind you,Espera ele sair um pouco mais pra trás
radio check,Checando rádio
into 4 right,Entrando em quatro direita
early,Antecipado
80,Oitenta
3 right,Três direita
into care,Entrando com cuidado
right 3,Direita três
tightens to 6,Fecha pra seis
1,Um
keep in,Mantém por dentro
into medium right,Entrando em média pra direita
penalty false start,Penalidade por largada antecipada
slippery,Escorregadio
gravel,Cascalho
immediate,Imediato
tarmac,Asfalto
onto tarmac,Entrando no asfalto
continues over crest,Segue sobre o topo
hairpin left,Gancho esquerda
40,Quarenta
over crest,Sobre o topo
tightens to hairpin,Fecha pra gancho
outside,Por fora
finish,Final
1 left,Um esquerda
junk-shun,Cruzamento
dip,Depressão
care,Atenção
flat left,Esquerda plena
3 left,Três esquerda
50,Cinquenta
square left,Esquerda em ângulo reto
right entry chicayne,Chiqueine com entrada pela direita
open hairpin left,Gancho aberto pra esquerda
brake,Freia
into 3 right,Entrando em três direita
don't cut early,Não corta antecipado
open hairpin right,Gancho aberto pra direita
over bridge,Sobre a ponte
right flat,Direita plena
4 left,Quatro esquerda
left entry chicayne,Chiqueine com entrada pela esquerda
small crest,Topinho
into flat right,Entrando em direita plena
tightens to 1,Fecha pra um
into 1 right,Entrando em um direita
caution water,Atenção: água
twisty,Trecho sinuoso
round,Curva fechada
tree inside,Árvore por dentro
into 5 right,Entrando em cinco direita
deep ruts,Valetas fundas
800,Oitocentos
danger,Perigo
we are lost,A gente se perdeu
right 6,Direita seis
hole,Buraco
into 3 left,Entrando em três esquerda
ruts,Valetas
full cut,Pode cortar tudo
tightens bad,Fecha feio
keep left,Mantém à esquerda
crest,Topo
into hairpin right,Entrando em gancho à direita
deceptive,Enganoso
right 4,Direita quatro
square right,Direita em ângulo reto
6 right,Seis direita
downhill,Descendo
uphill,Subindo
into ford,Entrando na travessia d'água
rocks inside,Pedras por dentro
into fast right,Entrando em direita rápida
sharp,Afiado
slippy,Escorregadio
rocks outside,Pedras por fora
easy,Suave
slight right,Leve pra direita
to 2,Até dois
hold,Segura
fast left,Esquerda rápida
half long,Meia distância
left 6,Esquerda seis
left square,Esquerda quadrada
care in,Atenção entrando
into slight left,Entrando leve pra esquerda
"OK, we're starting our stage reh-key","Beleza, começando nosso reconhecimento de terreno"
fast right,Direita rápida
into 2 left,Entrando em dois esquerda
late apex,Apex tardio
keep middle,Mantém no meio
into 4 left,Entrando em quatro esquerda
5 left,Cinco esquerda
caution,Cuidado
5 right,Cinco direita
left 4,Esquerda quatro
tree outside,Árvore por fora
into square left,Entrando em esquerda quadrada
long long,"Longa, bem longa"
don't cut,Não corta
jump,Salto
care out,Atenção saindo
keep right,Mantém à direita
over rails,Sobre os trilhos
2,Dois
left hairpin,Gancho à esquerda
into flat left,Entrando em esquerda plena
left 5,Esquerda cinco
inside,Por dentro
100,Cem
into hairpin left,Entrando em gancho esquerda
to 3,Até três
hairpin right,Gancho à direita
minus,Menos
very long,Bem longa
into kay left,Entrando em K esquerda
maybe,Talvez
late,Tarde
flat right,Direita plena
2 right,Dois direita
60,Sessenta
logs inside,Troncos por dentro
ford,Travessia d’água
slight left,Leve pra esquerda
into kay right,Entrando em K direita
logs outside,Troncos por fora
left 3,Esquerda três
30,Trinta
200,Duzentos
puddle,Poça
into slow left,Entrando em esquerda lenta
split,Divisão
into slight right,Entrando leve pra direita
k left,K esquerda
tunnel,Túnel
tightens to 5,Fecha pra cinco
into 6 left,Entrando em seis esquerda
350,Trezentos e cinquenta
short,Curta
tightens to 3,Fecha pra três
long,Longa
concrete,Concreto
onto gravel,Indo pro cascalho
into fast left,Entrando em esquerda rápida
into square right,Entrando em direita quadrada
wideout,Abre demais
sloe right,Direita apertada
into,Entrando
tight,Fechada
450,Quatrocentos e cinquenta
2 left,Dois esquerda
1 right,Um direita
into 1 left,Entrando em um esquerda
bump,Lombada
500,Quinhentos
sloe left,Esquerda apertada
into 5 left,Entrando em cinco esquerda
correction,Corrige
onto,Indo pra
left flat,Esquerda plena
to dip,Até depressão
stay out,Fica por fora
opens tightens,Abre e fecha
160,Cento e sessenta
water,Água
right hairpin,Gancho à direita
hard,Forte
to hairpin,Até o gancho
4 right,Quatro direita
jump flat,Salto pleno
left 2,Esquerda dois
into sloe right,Entrando em direita apertada
snow,Neve
70,Setenta
6 left,Seis esquerda
300,Trezentos
tightens late,Fecha no final
tightens opens,Fecha e depois abre
140,Cento e quarenta
jump bind,Salto com quique
"OK, we've finished our stage reh-key","Certo, finalizamos nosso reconhecimento de terreno"
right square,Direita quadrada
700,Setecentos
120,Cento e vinte
medium right,Direita média
to finish,Até o final
into 2 right,Entrando em dois direita
keep out,Mantém por fora
into bump,Entrando na lombada
over railway,Sobre os trilhos
400,Quatrocentos
medium left,Esquerda média
over jump,Sobre salto
tightens to 4,Fecha pra quatro
don't cut late,Não corta tarde
double,Duplo
to 6,Até seis
to 5,Até cinco
narrows,Afunila
cut,Pode cortar
plus,Mais
into caution,Entrando com cautela
250,Duzentos e cinquenta
widens,Alarga
bridge,Ponte
onto loose gravel,Indo pro cascalho solto
microphone check,Checando microfone
right 1,Direita um
600,Seiscentos
bad camber,Cambagem ruim
rails,Trilhos
tightens to 2,Fecha pra dois
bumps,Ondulações
into medium left,Entrando em esquerda média
then,Depois
into 6 right,Entrando em seis direita
right 5,Direita cinco
big jump,Salto grande
left foot braking,Freada com o pé esquerdo
through gate,Passando pelo portão
left 1,Esquerda um
onto snow,Indo pra neve
tightens,Fecha
onto concrete,Indo pro concreto
triple caution,Atenção tripla
180,Cento e oitenta
opens,Abre
to 4,Até quatro
go straight,Vai reto
to 1,Até um
right 2,Direita dois
go,Vai
k right,K direita
3,Três
900,Novecentos
1000,Mil
150,Cento e cinquenta
we got 2 minutes left of this driver stint,Restam dois minutos nesse stint de piloto
2 minutes before we gotta swap drivers,Dois minutos antes de trocar de piloto
2 minutes remaining on this driver stint,Dois minutos restantes nesse stint
need to change drivers in 2 minutes,Precisamos trocar de piloto em dois minutos
we'll need to swap in 2 minutes,Vamos ter que trocar em dois minutos
15 minutes before we need to change drivers,Quinze minutos antes da troca de piloto
15 minutes of this stint left,Quinze minutos restantes nesse stint
you got 15 minutes before we need a driver swap,Faltam quinze minutos pra troca de piloto
15 minutes before we need a driver swap,Quinze minutos antes de precisarmos trocar de piloto
15 minutes of this driver stint remaining,Quinze minutos restantes nesse stint de piloto
"driver change, pit now","Troca de piloto, entra agora"
we're pitting now for a driver change,Vamos parar agora pra troca de piloto
we need to pit now for a driver change,Precisamos parar agora pra troca de piloto
"driver change, box, box, box","Troca de piloto, box, box, box"
"box, box, box, we're doing a driver change this time","Box, box, box, troca de piloto agora"
10 minutes left in this driver stint,Dez minutos restantes nesse stint
"10 minutes left in this stint, we'll need a driver swap","Dez minutos restantes nesse stint, troca de piloto na próxima"
you got 10 minutes before we need to change drivers,Faltam dez minutos pra gente trocar de piloto
you've got 10 minutes left before we need to change drivers,Dez minutos restantes antes da troca de piloto
10 minutes left in this stint before we need a driver swap,Dez minutos restantes nesse stint antes da troca
"pit this lap for a driver change, our time in the car is up","Para nessa volta pra troca, nosso tempo no carro acabou"
"our time in the car is up, pit this lap for a driver change","Nosso tempo acabou, para nessa volta pra troca de piloto"
"box this lap for a driver change, we've got no more time left in the car","Box nessa volta, a gente não tem mais tempo no carro"
"box this lap for a driver change, we've got no more stints left","Box nessa volta, não temos mais stint restante"
"box this lap for a driver change, this is your last time in the car","Box nessa volta, essa é sua última vez no carro"
box this lap for a driver swap,Box nessa volta pra troca de piloto
pit this lap for a driver change,Pit nessa volta pra troca de piloto
pit this lap for a driver swap,Pit nessa volta pra troca de piloto
pit this lap for your driver change,Pit nessa volta pra sua troca de piloto
we'll need to swap drivers in 5 minutes,Vamos precisar trocar de piloto em cinco minutos
5 minutes left before we gotta swap,Cinco minutos restantes antes da troca
we need a driver change in 5 minutes,Precisamos trocar de piloto em cinco minutos
5 minutes left in this stint,Cinco minutos restantes nesse stint
5 minutes left in this driver stint,Cinco minutos restantes nesse stint de piloto
to pass,Pra ultrapassar
stay in the pole row in the inside column,"Fica na fila da pole, coluna de dentro"
stay in the pole row in the left column,"Fica na fila da pole, coluna da esquerda"
line up single-file behind car number,Alinha em fila única atrás do carro número
line up single-file behind car,Alinha em fila única atrás do carro
move back to the pole,Volta pra pole
you need to move back to the pole position,Você precisa voltar pra pole
you need to move back to the pole,Precisa retornar pra pole
move back to the pole position,Retorna pra posição de pole
the safety car speed is,A velocidade do safety car é
we're starting from pole,Vamos largar da pole
you're ahead of a guy you should be following,Você tá à frente de um cara que deveria estar seguindo
you're ahead of a guy you should be behind,Você tá à frente de alguém que devia estar atrás
"you're ahead of this guy, you should be behind him","Você tá na frente desse cara, mas deveria estar atrás"
the safety car's just left,O safety car acabou de sair
the safety car has just left,O safety acabou de deixar a pista
in the left column,Na coluna da esquerda
in the left lane,Na faixa da esquerda
the pace car speed is,A velocidade do pace car é
we need to line up single file,Precisamos alinhar em fila única
line up single file,Alinha em fila única
line up single-file behind the pace car,Alinha em fila única atrás do pace car
"rolling start, get ready","Largada em movimento, se prepara"
"okay, rolling start","Beleza, largada em movimento"
this is a rolling start,Essa é uma largada em movimento
we need to allow car number,Precisamos ceder posição pro carro número
we need to let car number,Temos que deixar o carro número passar
allow car number,Autoriza o carro número
row,Fila
line up on the outside line,Alinha na linha de fora
form up on the outside,Forma na parte de fora
line up in the outside column,Alinha na coluna de fora
form up in the outside column,Forma na coluna externa
form up in the outside line,Forma na linha de fora
line up on the outside,Alinha por fora
in the right lane,Na faixa da direita
in the right column,Na coluna da direita
pass the safety car,Passa o safety car
stay in pole,Fica na pole
stay in the pole,Mantém a pole
we need to pass car number,Precisamos passar o carro número
pass car number,Passa o carro número
follow car number,Segue o carro número
we need to follow car number,Precisamos seguir o carro número
allow,Autoriza
we're starting in position,Vamos largar na posição
we're starting from position,Estamos saindo da posição
line up on the inside,Alinha por dentro
form up in the inside column,Forma na coluna interna
line up in the inside column,Alinha na coluna de dentro
catch up to car number,Encosta no carro número
we need to catch car number,Precisamos chegar no carro número
we need to catch up to car number,Precisamos colar no carro número
miles per hour,Milhas por hora
stay in the pole row in the outside column,Fica na fila da pole na coluna de fora
stay in the pole row in the right column,Fica na fila da pole na coluna da direita
line up on the left,Alinha à esquerda
line up in the left column,Alinha na coluna da esquerda
form up on the left-hand side,Forma no lado esquerdo
form up in the left column,Forma na coluna da esquerda
follow,Segue
stay behind,Fica atrás
hold position behind,Mantém a posição atrás
you need to follow,Precisa seguir
in the outside column,Na coluna externa
in the outside lane,Na faixa de fora
pace car is out,O pace car tá na pista
the pace car's out,O pace car tá fora
the pace car is out,O pace car está na pista
you need to catch up to the guy ahead,Precisa colar no cara da frente
you need to close the gap to the guy ahead,Fecha o gap pro carro da frente
the pace car has just left,O pace car acabou de sair
safety car is out,O safety car está na pista
the safety car's out,O safety tá na pista
the safety car is out,O safety car tá fora
line up single-file behind the safety car,Alinha em fila única atrás do safety car
the pace car,O pace car
pass the pace car,Passa o pace car
you need to move back to the pole row,Você precisa voltar pra fila da pole
move back to the pole row,Volta pra fila da pole
catch up to,Cola em
you should catch up to,Era pra você já estar colado em
you need to catch up to,Precisa colar em
please catch up to,"Cola nele, por favor"
get closer to,Chega mais perto
you need to get closer to,Precisa se aproximar
line up single-file behind,Alinha em fila única atrás de
the safety car,O safety car
allow the car behind to pass,Deixa o carro de trás passar
allow this guy to pass,Deixa esse cara passar
let this guy through,Libera esse cara
form up in the right column,Forma na coluna da direita
line up in the right column,Alinha na coluna da direita
line up on the right-hand side,Alinha no lado direito
in the inside lane,Na faixa de dentro
in the inside column,Na coluna de dentro
"okay, standing start","Ok, largada parada"
standing start now,Largada parada agora
this'll be a standing start,Essa vai ser uma largada parada
kilometres per hour,Quilômetros por hora
the guy in front is,O cara da frente está
the car in front is,O carro da frente está
the car ahead is,O carro que tá à frente
the driver in front of us is,O piloto que tá à nossa frente é
the guy ahead is,O cara da frente é
the next car is,O próximo carro é
the car in front of us is,O carro que tá na nossa frente é
the car in front of us is now,O carro da frente agora é
"right, the guy ahead of us is","Certo, o cara à nossa frente é"
the car ahead's pitting now,O carro da frente tá parando agora
the car ahead's pitting,O carro à frente vai parar
the car in front is pitting,O carro na frente tá entrando
the car behind's pitting now,O carro de trás tá entrando agora
the car behind is pitting,O carro de trás tá parando
the car behind's pitting,O de trás tá entrando agora
their reputation is,A reputação deles é
the car in front has just posted a,O carro da frente acabou de marcar um
the car in front's lap time is a,A volta do carro da frente foi um
the guy ahead's last lap time is a,A última volta do cara da frente foi um
the guy ahead has just done a,O cara da frente acabou de fazer um
the car ahead has just done a,O carro da frente acabou de virar um
the guy in front has just done a,O piloto da frente acabou de cravar um
the guy ahead has just posted a,O cara da frente acabou de marcar um
the car in front has just done a,O carro da frente acabou de registrar um
the guy ahead's lap time is a,A volta do cara da frente foi um
"there's a car exiting the pits, be careful","Tem carro saindo do pit, cuidado"
"there's a car leaving the pits, be careful","Carro saindo dos boxes, atenção"
"there's a car exiting the pits, take care","Carro saindo do pit, vai com calma"
one lap ahead,Uma volta à frente
one lap in front,Uma volta na frente
has just been disqualified,Acabou de ser desclassificado
has been disqualified,Foi desclassificado
the leader is now on,O líder agora está com
is leading the race,Está liderando a corrida
is now leading,Tá liderando agora
is now in the lead,Assume a ponta agora
behind is pitting no,Atrás tá parando agora
behind is pitting,Atrás tá parando
has just retired from the race,Acabou de abandonar a corrida
has just retired,Acabou de abandonar
has now retired,Agora abandonou
has retired from the race,Abandonou a corrida
has retired,Abandonou
and their rating is,E a nota dele é
the leader,O líder
is pitting,Tá parando
the car behind is on,O carro de trás está com
the car behind is now on,O carro de trás agora tá com
the leader's pitting now,O líder tá parando agora
lead car's pitting,Carro líder entrando nos boxes
the leader is pitting now,O líder tá entrando agora
"I can't pronounce the name, mate","Não sei pronunciar esse nome, parceiro"
I don't know his name,Não sei o nome dele
I can't pronounce that,Não consigo pronunciar isso
I don't know,Não sei
I really don't know,"De verdade, não faço ideia"
in front is pitting,A frente tá parando
ahead is pitting,O cara à frente vai parar
is now on,Agora tá com
the leader has just done a,O líder acabou de virar um
fastest lap for,Volta mais rápida pra
that's a new fastest lap for,Nova volta mais rápida pra
new fastest lap for,Nova volta mais rápida registrada por
the guy behind has just done a,O cara de trás acabou de virar um
that's us,Somos nós
we are,A gente tá
a lap behind,Uma volta atrás
one lap behind,Uma volta atrás
car number,Carro número
the car ahead is now on,O carro da frente agora tá com
the car ahead's now on,O carro da frente agora tá com
the car ahead is on,O carro da frente tá com
you got a slow car ahead,Tem carro lento na frente
there's a slow car ahead,Carro lento à frente
"two laps left, come on, you're looking good for a podium","Faltam duas voltas, vamos que dá pódio!"
"two to go, keep it together, we'll be on the podium","Duas pra acabar, mantém, tamo no pódio"
"two laps left, we're on for a podium here","Duas voltas restantes, tamo na briga pelo pódio"
we'll be on the right-hand side behind,"Vamos ficar na direita, atrás"
we'll be in the right lane behind,"A gente vai ficar na faixa da direita, atrás"
we'll be in the right pace column behind,Vamos ficar na coluna da direita atrás
we'll be in the left column behind,Vamos estar na coluna da esquerda atrás
we'll be on the left-hand side behind,"A gente vai tá do lado esquerdo, atrás"
we'll be in the left pace line behind,"Estaremos na fila da esquerda, atrás"
"understood, manual formation lap","Entendido, volta de formação manual"
"acknowledged, manual rolling start","Confirmado, rolling start manual"
